condition,replicate,membrane-extension
pVCA,run000,0.0031531651977715694
pVCA,run001,0.003091583924614008
pVCA,run002,0.0030954758333791256
pVCA,run003,0.0032740978719942096
pVCA,run004,0.0032900292878995
pVCA,run005,0.003219727922240425
pVCA,run006,0.002959034669422958
pVCA,run007,0.003170859398893813
pVCA,run008,0.003272130186190196
pVCA,run009,0.0031423562173280295
pVCA,run010,0.0035791167692668475
pVCA,run011,0.0030190307598595093
pVCA,run012,0.0031201862815229877
pVCA,run013,0.00303126825036441
pVCA,run014,0.0031199336724331917
pVCA,run015,0.0033570514494066913
pVCA,run016,0.0033031852154916967
pVCA,run017,0.0031477846043316965
pVCA,run018,0.002976779944788407
pVCA,run019,0.003096749992964268
mDia1,run000,0.013814151615567932
mDia1,run001,0.00956030898490309
mDia1,run002,0.011604712591017915
mDia1,run003,0.014120162871678055
mDia1,run004,0.014867499999536724
mDia1,run005,0.014262364391180457
mDia1,run006,0.014015496944346967
mDia1,run007,0.010919556029271187
mDia1,run008,0.014354075912641612
mDia1,run009,0.011507278968584283
mDia1,run010,0.01189970994207037
mDia1,run011,0.011983578204450531
mDia1,run012,0.010269503949985869
mDia1,run013,0.008091875362049432
mDia1,run014,0.012373194652949532
mDia1,run015,0.006446275237803721
mDia1,run016,0.015385189670838132
mDia1,run017,0.00991606156744767
mDia1,run018,0.013311078899961271
mDia1,run019,0.015657508334654034
pVCA + mDia1,run000,0.021110677895329378
pVCA + mDia1,run001,0.023962182481100207
pVCA + mDia1,run002,0.02853678607825924
pVCA + mDia1,run003,0.021628467568249005
pVCA + mDia1,run004,0.024682721743085036
pVCA + mDia1,run005,0.025754633546286147
pVCA + mDia1,run006,0.026820100634952444
pVCA + mDia1,run007,0.03149373248517913
pVCA + mDia1,run008,0.03056399646089864
pVCA + mDia1,run009,0.02662679169836788
pVCA + mDia1,run010,0.024120589405206613
pVCA + mDia1,run011,0.024738474739267
pVCA + mDia1,run012,0.020385883185978206
pVCA + mDia1,run013,0.019466537357994404
pVCA + mDia1,run014,0.025457308838671606
pVCA + mDia1,run015,0.024272400956602345
pVCA + mDia1,run016,0.023792694515062662
pVCA + mDia1,run017,0.015282208116361464
pVCA + mDia1,run018,0.022942991549574583
pVCA + mDia1,run019,0.026836543526008633
