condition,replicate,membrane-extension
pVCA,run000,0.0025613123751454152
pVCA,run001,0.002632589696411637
pVCA,run002,0.00238235583567471
pVCA,run003,0.002546834031163173
pVCA,run004,0.0025127591048195895
pVCA,run005,0.0025825920463999363
pVCA,run006,0.002482145897317596
pVCA,run007,0.0025369676641255876
pVCA,run008,0.0024409380507197285
pVCA,run009,0.002492271243386343
pVCA,run010,0.0025864443657704866
pVCA,run011,0.0026219317279153635
pVCA,run012,0.002625237067860712
pVCA,run013,0.002533370898247899
pVCA,run014,0.0023603119931257196
pVCA,run015,0.0024519562638340496
pVCA,run016,0.0024848852721399174
pVCA,run017,0.002465395036571078
pVCA,run018,0.002532882896007951
pVCA,run019,0.002560906291809146
mDia1,run000,0.002048369263931205
mDia1,run001,0.0020399763686380157
mDia1,run002,0.0020988495068812343
mDia1,run003,0.002068712845764824
mDia1,run004,0.0019927880428799874
mDia1,run005,0.002062684596221109
mDia1,run006,0.0020567140273174095
mDia1,run007,0.002093649626222151
mDia1,run008,0.0020791628814128557
mDia1,run009,0.0021160649723091394
mDia1,run010,0.0020574381842815965
mDia1,run011,0.002071120456341243
mDia1,run012,0.0021094601438446936
mDia1,run013,0.002156203380281746
mDia1,run014,0.002124556471621283
mDia1,run015,0.0020779707633769126
mDia1,run016,0.0020465228788008804
mDia1,run017,0.0020744007766868027
mDia1,run018,0.0020966684916522635
mDia1,run019,0.002047585488825511
pVCA + mDia1,run000,0.004557084951688467
pVCA + mDia1,run001,0.004249224202269272
pVCA + mDia1,run002,0.003846890170846824
pVCA + mDia1,run003,0.003881079885353808
pVCA + mDia1,run004,0.0038980176725998067
pVCA + mDia1,run005,0.004209728657688384
pVCA + mDia1,run006,0.003939355386054966
pVCA + mDia1,run007,0.004690691624877526
pVCA + mDia1,run008,0.004259566549170602
pVCA + mDia1,run009,0.003997883117473568
pVCA + mDia1,run010,0.0038221746424719123
pVCA + mDia1,run011,0.0039984581460288625
pVCA + mDia1,run012,0.003994588878678159
pVCA + mDia1,run013,0.0042561490274290546
pVCA + mDia1,run014,0.003937052652477042
pVCA + mDia1,run015,0.004394747608032201
pVCA + mDia1,run016,0.004029631342438601
pVCA + mDia1,run017,0.004110303747097128
pVCA + mDia1,run018,0.004296042805559965
pVCA + mDia1,run019,0.004891067015933415
